                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.1527,                 1.5192,                  1.019,                 0.9918,                      1,                  0.995,                0.70048,                 1.0863,                 1.2292,                 1.1263,              0.0013782,              0.0013782,              0.0013782
                     37,                 1.0748,                 1.4037,                 1.0175,                0.99389,                0.98213,                  0.995,                0.68749,                 1.0229,                 1.1881,                 1.1022,              0.0013699,              0.0013699,              0.0013699
                     38,                  1.148,                 1.4201,                 1.0233,                 0.9802,                 0.9942,                  0.995,                0.69883,                 1.0352,                 1.2062,                 1.0868,              0.0013617,              0.0013617,              0.0013617
                     39,                 1.1551,                 1.3911,                 1.0399,                 0.9822,                      1,                  0.995,                0.70167,                  1.049,                 1.1326,                  1.079,              0.0013534,              0.0013534,              0.0013534
                     40,                 1.0095,                 1.4062,                 1.0217,                0.97052,                0.99604,                  0.995,                0.72223,                 0.9739,                 1.0683,                 1.0762,              0.0013452,              0.0013452,              0.0013452
                     41,                0.95191,                 1.3346,                0.98131,                0.96781,                 0.9987,                  0.995,                0.72948,                0.95163,                 1.0602,                 1.0737,              0.0013369,              0.0013369,              0.0013369
                     42,                 1.0447,                 1.2673,                 1.0621,                0.98672,                      1,                  0.995,                0.72377,                 1.1239,                 1.0518,                 1.1055,              0.0013287,              0.0013287,              0.0013287
                     43,                 1.0485,                 1.3368,                 1.0486,                 0.9924,                      1,                  0.995,                0.73716,                 1.1124,                 1.0523,                 1.1018,              0.0013204,              0.0013204,              0.0013204
                     44,                 1.0097,                 1.3045,                 1.0097,                0.98342,                      1,                  0.995,                0.70894,                0.98506,                 1.0393,                 1.0897,              0.0013122,              0.0013122,              0.0013122
                     45,                 1.0412,                 1.1435,                 1.0202,                0.97177,                      1,                  0.995,                 0.6912,                 1.0096,                 1.0669,                 1.0832,              0.0013039,              0.0013039,              0.0013039
                     46,                 1.0725,                 1.2417,                 1.0474,                0.95743,                0.99751,                  0.995,                0.70351,                 1.0264,                 1.0124,                 1.0753,              0.0012957,              0.0012957,              0.0012957
                     47,                 1.0509,                 1.1845,                0.97897,                0.94088,                      1,                  0.995,                0.69551,                 1.0158,                 1.0758,                  1.077,              0.0012874,              0.0012874,              0.0012874
                     48,                0.98796,                 1.2246,                0.96246,                0.95807,                      1,                  0.995,                0.72363,                0.94526,                 1.0057,                 1.0827,              0.0012792,              0.0012792,              0.0012792
                     49,                 1.0146,                 1.1675,                0.99233,                0.98743,                      1,                  0.995,                0.74107,                0.95824,                0.94096,                 1.0782,              0.0012709,              0.0012709,              0.0012709
                     50,                0.94458,                 1.0673,                 1.0065,                0.99297,                      1,                  0.995,                0.74872,                0.95003,                0.93876,                 1.0655,              0.0012627,              0.0012627,              0.0012627
                     51,                 1.0127,                 1.1498,                0.99742,                0.99198,                      1,                  0.995,                0.72986,                 1.0738,                0.94463,                 1.0845,              0.0012544,              0.0012544,              0.0012544
                     52,                 1.0804,                 1.1288,                0.97024,                0.98469,                      1,                  0.995,                0.73195,                0.97791,                0.92936,                 1.0738,              0.0012462,              0.0012462,              0.0012462
                     53,                0.94183,                 1.1438,                 1.0128,                0.98036,                      1,                  0.995,                0.72406,                 0.9654,                0.92704,                 1.0676,              0.0012379,              0.0012379,              0.0012379
                     54,                 1.0527,                 1.1522,                 1.0081,                0.97469,                      1,                  0.995,                0.71499,                0.95927,                0.94266,                 1.0722,              0.0012297,              0.0012297,              0.0012297
                     55,                0.96673,                 1.1281,                 1.0031,                0.96166,                      1,                  0.995,                0.70884,                0.91071,                0.90901,                 1.0654,              0.0012214,              0.0012214,              0.0012214
                     56,                0.94317,                 1.0322,                 1.0045,                0.99396,                      1,                  0.995,                0.71162,                 1.0315,                0.94654,                 1.0791,              0.0012132,              0.0012132,              0.0012132
                     57,                 1.0112,                 1.1545,                  1.058,                0.98655,                      1,                  0.995,                0.73299,                0.93522,                 0.9355,                 1.0718,              0.0012049,              0.0012049,              0.0012049
                     58,                0.95066,                 1.0682,                 1.0158,                0.98479,                      1,                  0.995,                0.72929,                0.91921,                0.86221,                 1.0653,              0.0011967,              0.0011967,              0.0011967
                     59,                0.95751,                 1.0481,                 1.0456,                0.98121,                      1,                  0.995,                0.73894,                0.89484,                0.82349,                 1.0542,              0.0011884,              0.0011884,              0.0011884
                     60,                0.90858,                0.96783,                0.95325,                0.96076,                0.96875,                0.99324,                0.72035,                0.98823,                0.95135,                  1.074,              0.0011802,              0.0011802,              0.0011802
                     61,                0.97266,                 1.0391,                0.97226,                0.95933,                0.97802,                  0.995,                0.72009,                0.95215,                 0.9704,                 1.0713,              0.0011719,              0.0011719,              0.0011719
                     62,                0.86247,                0.90762,                0.97551,                 0.9731,                0.99873,                  0.995,                 0.7476,                 0.9358,                0.84425,                 1.0637,              0.0011636,              0.0011636,              0.0011636
                     63,                0.85142,                0.93674,                0.99975,                0.98628,                      1,                  0.995,                0.76293,                0.99545,                0.83873,                 1.0695,              0.0011554,              0.0011554,              0.0011554
                     64,                0.92244,                0.94721,                 1.0046,                0.98472,                      1,                  0.995,                0.76121,                0.97827,                0.86357,                 1.0752,              0.0011471,              0.0011471,              0.0011471
                     65,                0.91944,                 1.0003,                0.98527,                 0.9839,                      1,                  0.995,                  0.722,                0.92791,                0.81703,                 1.0681,              0.0011389,              0.0011389,              0.0011389
                     66,                0.87813,                 1.0425,                0.97549,                0.98103,                      1,                  0.995,                0.72383,                0.93067,                0.82637,                 1.0675,              0.0011306,              0.0011306,              0.0011306
                     67,                0.92232,                 0.9561,                0.99467,                0.97844,                      1,                  0.995,                0.73544,                0.91581,                0.84067,                 1.0558,              0.0011224,              0.0011224,              0.0011224
                     68,                0.90929,                0.87987,                  1.039,                0.97577,                      1,                  0.995,                0.76778,                0.93868,                0.81776,                 1.0272,              0.0011141,              0.0011141,              0.0011141
                     69,                0.86093,                0.84401,                0.97247,                0.97888,                      1,                  0.995,                0.75044,                0.97794,                0.80319,                 1.0233,              0.0011059,              0.0011059,              0.0011059
                     70,                0.86371,                0.88726,                0.97417,                0.98226,                      1,                  0.995,                0.76978,                0.93768,                0.77099,                 1.0241,              0.0010976,              0.0010976,              0.0010976
                     71,                0.83403,                0.82433,                0.99947,                0.98455,                      1,                  0.995,                0.76537,                0.90839,                0.74261,                 1.0242,              0.0010894,              0.0010894,              0.0010894
                     72,                0.83432,                0.78631,                0.95204,                0.98445,                      1,                  0.995,                0.74758,                0.98512,                0.75316,                 1.0338,              0.0010811,              0.0010811,              0.0010811
                     73,                0.88039,                0.83613,                0.98762,                0.98258,                      1,                  0.995,                0.75139,                0.96939,                0.74156,                 1.0372,              0.0010729,              0.0010729,              0.0010729
                     74,                0.86668,                0.74175,                0.99918,                0.98339,                      1,                  0.995,                0.75487,                0.88995,                0.72516,                 1.0358,              0.0010646,              0.0010646,              0.0010646
                     75,                0.86145,                0.89567,                0.96041,                0.98406,                      1,                  0.995,                0.75696,                0.91248,                0.73434,                 1.0389,              0.0010564,              0.0010564,              0.0010564
