                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.34225,                 123.46,                0.20125,                      0,                      0,                      0,                      0,                 0.1028,                 113.37,                0.05858,                 0.0001,                 0.0001,                 0.0001
                      2,                 0.6595,                 116.36,                0.38736,                      0,                      0,                      0,                      0,                 0.1017,                 113.22,                0.05802,             0.00021927,             0.00021927,             0.00021927
                      3,                 2.6256,                 105.56,                 1.4823,                      0,                      0,                      0,                      0,                0.10027,                  113.2,                0.05731,             0.00033776,             0.00033776,             0.00033776
                      4,                 3.7385,                 95.118,                 1.7001,                      0,                      0,                      0,                      0,                0.09764,                 113.08,                  0.056,             0.00045545,             0.00045545,             0.00045545
                      5,                 5.7022,                 70.293,                 2.4768,                      0,                      0,                      0,                      0,                0.09152,                 107.88,                0.05281,             0.00057234,             0.00057234,             0.00057234
                      6,                 5.0612,                 20.187,                 2.4348,                      0,                      0,                      0,                      0,                0.07813,                 91.946,                 0.0456,             0.00068845,             0.00068845,             0.00068845
                      7,                 3.9355,                 10.172,                 2.3599,                      0,                      0,                      0,                      0,                0.06296,                 73.824,                0.03722,             0.00080376,             0.00080376,             0.00080376
                      8,                 3.6274,                 6.8448,                 1.9575,                      0,                      0,                      0,                      0,                0.04923,                 58.507,                0.02957,             0.00091829,             0.00091829,             0.00091829
                      9,                 3.3781,                 5.1629,                 1.6272,                      0,                      0,                      0,                      0,                0.04123,                 56.529,                 0.0254,               0.001032,               0.001032,               0.001032
                     10,                 3.0911,                 4.2256,                 1.3543,                      0,                      0,                      0,                      0,                0.03355,                 51.674,                0.02092,               0.001145,               0.001145,               0.001145
                     11,                 2.8504,                 3.8185,                 1.3044,                      0,                      0,                      0,                      0,                0.03488,                 48.284,                0.02138,              0.0012571,              0.0012571,              0.0012571
                     12,                  2.821,                 3.3472,                 1.2393,                      0,                      0,                      0,                      0,                0.03833,                 45.035,                0.02299,              0.0013685,              0.0013685,              0.0013685
                     13,                 2.7505,                 3.2017,                 1.1888,                      0,                      0,                      0,                      0,                0.05724,                 45.212,                0.03267,               0.001479,               0.001479,               0.001479
                     14,                 2.5208,                 2.8478,                 1.1517,                      0,                      0,                      0,                      0,                 0.1103,                 47.541,                0.05881,              0.0015888,              0.0015888,              0.0015888
