                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5806,                 115.53,                 2.1704,                      0,                      0,                      0,                      0,                 3.9737,                 73.907,                 2.3297,              5.001e-05,              5.001e-05,              5.001e-05
                      2,                 5.4665,                 100.95,                 3.3155,                      0,                      0,                      0,                      0,                 3.9584,                 74.125,                 2.3225,             0.00011438,             0.00011438,             0.00011438
                      3,                 4.3413,                 91.477,                 2.5887,                      0,                      0,                      0,                      0,                 3.9455,                 74.237,                 2.3164,             0.00017611,             0.00017611,             0.00017611
                      4,                 5.5563,                 102.63,                  3.274,                      0,                      0,                      0,                      0,                 3.9328,                 74.138,                 2.3102,              0.0002352,              0.0002352,              0.0002352
                      5,                 4.7112,                 68.855,                 2.7337,                      0,                      0,                      0,                      0,                  3.924,                 73.914,                 2.3059,             0.00029164,             0.00029164,             0.00029164
                      6,                 6.1297,                 93.727,                 3.4367,                      0,                      0,                      0,                      0,                  3.918,                 73.384,                 2.3029,             0.00034545,             0.00034545,             0.00034545
                      7,                 6.0615,                 73.953,                 3.3178,                      0,                      0,                      0,                      0,                 3.9051,                 71.847,                 2.2957,             0.00039662,             0.00039662,             0.00039662
                      8,                 4.5283,                 82.368,                  2.268,                      0,                      0,                      0,                      0,                 3.8818,                 68.733,                 2.2808,             0.00044515,             0.00044515,             0.00044515
                      9,                 5.6677,                 56.097,                  2.731,                      0,                      0,                      0,                      0,                 3.8831,                 65.171,                 2.2749,             0.00049103,             0.00049103,             0.00049103
                     10,                 5.9884,                 28.908,                 2.9379,                      0,                      0,                      0,                      0,                  3.813,                 59.992,                 2.2289,             0.00053428,             0.00053428,             0.00053428
                     11,                 4.5846,                 18.748,                 2.7415,                      0,                      0,                      0,                      0,                 3.5909,                 53.204,                 2.1025,             0.00057488,             0.00057488,             0.00057488
                     12,                 4.3256,                 12.181,                 2.6296,                      0,                      0,                      0,                      0,                 3.2021,                 48.184,                 1.8905,             0.00061285,             0.00061285,             0.00061285
                     13,                 3.5612,                 9.4924,                 2.3687,                      0,                      0,                      0,                      0,                 2.5629,                 44.986,                 1.5467,             0.00064817,             0.00064817,             0.00064817
                     14,                  3.349,                 6.6229,                 2.2459,                      0,                      0,                      0,                      0,                 2.3235,                 43.904,                 1.4161,             0.00068085,             0.00068085,             0.00068085
                     15,                 3.7031,                 6.9665,                 2.1445,                      0,                      0,                      0,                      0,                 2.5228,                 42.873,                 1.5182,              0.0007109,              0.0007109,              0.0007109
                     16,                 3.5918,                 6.6634,                  2.026,                      0,                      0,                      0,                      0,                  2.921,                 42.675,                 1.7246,              0.0007383,              0.0007383,              0.0007383
                     17,                  3.102,                 5.9616,                   1.85,                      0,                      0,                      0,                      0,                 3.3988,                 42.831,                 1.9699,             0.00076306,             0.00076306,             0.00076306
                     18,                 3.0055,                 5.0859,                 1.8034,                      0,                      0,                      0,                      0,                 4.6416,                 44.532,                 2.5983,             0.00078518,             0.00078518,             0.00078518
                     19,                  3.019,                 4.9389,                 1.7099,                      0,                      0,                      0,                      0,                 4.8927,                 45.085,                 2.7248,             0.00080466,             0.00080466,             0.00080466
                     20,                 2.7786,                 4.5102,                 1.5191,                      0,                      0,                      0,                      0,                 4.5822,                 44.488,                 2.5714,              0.0008215,              0.0008215,              0.0008215
                     21,                 3.0585,                  4.513,                 1.5478,                      0,                      0,                      0,                      0,                 4.0744,                 44.031,                 2.3171,              0.0008357,              0.0008357,              0.0008357
                     22,                 2.6273,                 3.8733,                  1.437,                      0,                      0,                      0,                      0,                 3.6835,                 44.229,                 2.1212,             0.00084726,             0.00084726,             0.00084726
                     23,                 2.6531,                 4.4689,                  1.484,                      0,                      0,                      0,                      0,                 3.6016,                 44.729,                 2.0792,             0.00085618,             0.00085618,             0.00085618
                     24,                 2.6619,                  4.155,                 1.4168,                      0,                      0,                      0,                      0,                 3.6296,                 45.109,                 2.0906,             0.00086246,             0.00086246,             0.00086246
                     25,                  2.465,                  3.845,                 1.3514,                      0,                      0,                      0,                      0,                 3.6333,                 45.451,                 2.0886,             0.00086609,             0.00086609,             0.00086609
                     26,                 2.6011,                 4.2018,                 1.4229,                      0,                      0,                      0,                      0,                 3.8828,                 46.021,                 2.2071,             0.00084184,             0.00084184,             0.00084184
                     27,                 2.3046,                 3.4647,                 1.2774,                      0,                      0,                      0,                      0,                 4.3363,                 46.747,                 2.4148,             0.00084184,             0.00084184,             0.00084184
                     28,                 2.5174,                 3.1972,                 1.2975,                      0,                      0,                      0,                      0,                 6.1696,                 47.931,                 3.1495,             0.00080883,             0.00080883,             0.00080883
                     29,                 2.3931,                 3.1249,                 1.2946,                      0,                      0,                      0,                      0,                 6.3842,                 18.658,                 2.5419,             0.00077582,             0.00077582,             0.00077582
                     30,                 2.5535,                 2.8031,                 1.2516,                0.00068,                0.11111,                0.00067,                 0.0002,                 4.2122,                 6.9036,                 1.9398,             0.00074282,             0.00074282,             0.00074282
                     31,                 2.2788,                 2.8148,                 1.2903,                0.00456,                0.48529,                0.00782,                0.00247,                 2.8841,                 4.6075,                 1.7062,             0.00070981,             0.00070981,             0.00070981
                     32,                  2.372,                 2.8654,                 1.2281,                0.00616,                0.68464,                0.02799,                0.00819,                 2.7396,                 4.0111,                 1.5778,              0.0006768,              0.0006768,              0.0006768
                     33,                 2.2567,                 3.1064,                  1.266,                0.01261,                 0.5719,                0.08212,                0.02294,                 2.6132,                 3.5898,                 1.4759,              0.0006438,              0.0006438,              0.0006438
                     34,                 2.3054,                 2.7996,                 1.2393,                0.09313,                0.06405,                0.12116,                0.03348,                  2.509,                 3.3605,                 1.3805,             0.00061079,             0.00061079,             0.00061079
                     35,                 2.1646,                 2.7618,                 1.3102,                0.14933,                0.18253,                0.17451,                0.05177,                 2.5069,                 3.1039,                 1.3482,             0.00057778,             0.00057778,             0.00057778
                     36,                  2.155,                 2.6694,                 1.1438,                 0.2895,                0.40033,                0.20616,                0.05886,                 2.4898,                 2.9883,                 1.3215,             0.00054478,             0.00054478,             0.00054478
                     37,                 2.0754,                 2.4085,                 1.1555,                0.29926,                0.43795,                0.29337,                0.11165,                 2.3712,                 2.8688,                 1.2884,             0.00051177,             0.00051177,             0.00051177
                     38,                 1.9811,                 2.5804,                 1.1441,                0.31155,                0.40359,                0.31298,                0.12406,                 2.2833,                 2.7714,                 1.2724,             0.00047876,             0.00047876,             0.00047876
                     39,                 2.2328,                 2.4301,                 1.2295,                 0.5092,                0.43668,                0.41492,                0.12614,                 2.3123,                 2.7712,                 1.2801,             0.00044576,             0.00044576,             0.00044576
                     40,                 1.9961,                 2.3296,                 1.1322,                0.47571,                0.46381,                0.40068,                0.14228,                 2.2983,                 2.6735,                 1.2699,             0.00041275,             0.00041275,             0.00041275
                     41,                 1.9491,                 3.1267,                 1.0718,                0.45135,                0.46814,                0.41372,                0.14369,                 2.2825,                 2.6876,                 1.2704,             0.00037974,             0.00037974,             0.00037974
                     42,                 1.9419,                  2.612,                 1.1266,                0.58348,                0.49183,                0.53713,                0.17119,                 2.2053,                 2.7568,                 1.2724,             0.00034674,             0.00034674,             0.00034674
                     43,                 1.9106,                 2.8226,                 1.1142,                0.64746,                0.48446,                0.57133,                0.19839,                 2.0941,                 2.7795,                 1.2413,             0.00031373,             0.00031373,             0.00031373
                     44,                 1.8068,                 2.5547,                 1.1094,                0.63612,                0.47599,                0.59261,                0.26036,                  1.974,                 2.7122,                  1.214,             0.00028072,             0.00028072,             0.00028072
                     45,                 1.7699,                 2.4932,                  1.152,                0.58729,                0.57486,                0.63613,                0.29335,                 1.9234,                 2.5971,                 1.2007,             0.00024772,             0.00024772,             0.00024772
                     46,                 1.7796,                 2.4419,                 1.0981,                 0.6161,                0.67407,                0.68201,                0.32986,                 1.8902,                  2.338,                 1.1921,             0.00021471,             0.00021471,             0.00021471
                     47,                 1.7813,                 2.4897,                 1.0865,                0.65001,                0.69603,                0.72138,                0.35964,                  1.864,                 2.1237,                 1.1787,              0.0001817,              0.0001817,              0.0001817
                     48,                 1.7953,                 2.2673,                 1.1905,                0.77792,                0.64241,                0.74004,                0.37212,                  1.842,                 1.9766,                 1.1703,              0.0001487,              0.0001487,              0.0001487
                     49,                 1.6537,                 2.3253,                 1.1176,                0.81373,                0.67775,                0.75739,                 0.3947,                 1.8012,                 1.8605,                 1.1643,             0.00011569,             0.00011569,             0.00011569
                     50,                 1.9456,                 2.9398,                 1.1302,                0.83939,                0.76303,                0.77125,                 0.4123,                 1.7717,                 1.7862,                 1.1566,             8.2683e-05,             8.2683e-05,             8.2683e-05
