                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3049,                 117.16,                 2.0468,                      0,                      0,                      0,                      0,                 0.3461,                 56.957,                0.19945,              6.668e-05,              6.668e-05,              6.668e-05
                      2,                 2.8668,                 112.63,                 1.6841,                      0,                      0,                      0,                      0,                0.34329,                  57.14,                0.19808,             0.00014929,             0.00014929,             0.00014929
                      3,                 3.0921,                 107.26,                 1.7184,                      0,                      0,                      0,                      0,                0.33751,                 57.133,                 0.1952,             0.00023107,             0.00023107,             0.00023107
                      4,                 4.3774,                 98.456,                 2.0645,                      0,                      0,                      0,                      0,                0.33019,                 56.909,                 0.1915,             0.00031203,             0.00031203,             0.00031203
                      5,                 5.2672,                 83.242,                 2.4702,                      0,                      0,                      0,                      0,                0.31434,                 55.972,                0.18341,             0.00039216,             0.00039216,             0.00039216
                      6,                  5.885,                 39.101,                 2.9642,                      0,                      0,                      0,                      0,                0.29982,                 54.561,                0.17581,             0.00047147,             0.00047147,             0.00047147
                      7,                 4.9754,                 20.544,                 2.6189,                      0,                      0,                      0,                      0,                0.26975,                 50.854,                0.15964,             0.00054995,             0.00054995,             0.00054995
                      8,                 3.7356,                 9.0281,                 2.3959,                      0,                      0,                      0,                      0,                0.25195,                 47.589,                0.14976,              0.0006276,              0.0006276,              0.0006276
                      9,                 3.1595,                 6.0945,                 2.0274,                      0,                      0,                      0,                      0,                0.23829,                 43.879,                 0.1421,             0.00070443,             0.00070443,             0.00070443
                     10,                 3.2913,                 5.5636,                 1.8019,                      0,                      0,                      0,                      0,                0.24728,                 41.166,                0.14637,             0.00078044,             0.00078044,             0.00078044
                     11,                 2.8127,                 4.6308,                 1.4287,                      0,                      0,                      0,                      0,                0.21878,                 38.232,                0.13022,             0.00085562,             0.00085562,             0.00085562
                     12,                 3.0859,                 4.9145,                 1.5445,                      0,                      0,                      0,                      0,                0.17419,                 34.784,                0.10519,             0.00092998,             0.00092998,             0.00092998
                     13,                 2.7578,                 4.3641,                 1.4163,                      0,                      0,                      0,                      0,                0.14049,                 33.215,                0.08661,              0.0010035,              0.0010035,              0.0010035
                     14,                 2.4603,                 4.1606,                 1.3443,                      0,                      0,                      0,                      0,                0.10541,                 30.806,                0.06689,              0.0010762,              0.0010762,              0.0010762
