                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8197,                 5.4071,                 4.2519,                0.00096,                0.03502,                0.00108,                0.00033,                 3.9565,                 6.5304,                 4.1579,               8.75e-05,               8.75e-05,               8.75e-05
                      2,                 3.8205,                 5.5777,                 4.2618,                0.00098,                0.03502,                0.00094,                 0.0003,                 3.9512,                 6.5356,                 4.1553,             0.00018564,             0.00018564,             0.00018564
                      3,                  3.828,                 5.1035,                 4.2003,                 0.0012,                0.04543,                0.00099,                0.00034,                 3.9442,                 6.5316,                 4.1519,             0.00028181,             0.00028181,             0.00028181
                      4,                  3.978,                 5.6032,                  4.169,                0.00095,                0.03502,                0.00095,                0.00033,                 3.9359,                 6.4991,                 4.1464,             0.00037599,             0.00037599,             0.00037599
                      5,                 3.7534,                 5.0776,                 4.1304,                0.00112,                0.04543,                0.00115,                0.00042,                  3.932,                 6.4071,                 4.1271,             0.00046819,             0.00046819,             0.00046819
                      6,                 3.7221,                 5.0759,                 4.0706,                 0.0011,                0.04543,                0.00105,                0.00035,                 3.9148,                 6.2316,                 4.1073,             0.00055842,             0.00055842,             0.00055842
                      7,                 3.5295,                 5.2247,                 4.0129,                0.00132,                0.05585,                0.00141,                 0.0004,                 3.8999,                 6.0957,                 4.0942,             0.00064666,             0.00064666,             0.00064666
                      8,                 3.3762,                 4.8608,                 3.8283,                0.00135,                0.05585,                0.00203,                0.00058,                 3.9188,                 6.0129,                 4.0952,             0.00073293,             0.00073293,             0.00073293
                      9,                 3.3093,                   4.83,                 3.8125,                0.00183,                0.08045,                0.00321,                0.00093,                 3.8735,                 5.8602,                 4.0737,             0.00081721,             0.00081721,             0.00081721
                     10,                 3.5154,                   4.79,                 3.6603,                0.00207,                0.08045,                0.00395,                0.00094,                 3.8772,                 5.7999,                 4.1308,             0.00089951,             0.00089951,             0.00089951
                     11,                 3.5077,                  5.027,                 3.5944,                0.00115,                0.04543,                0.00281,                0.00056,                 3.8403,                  5.604,                 4.1749,             0.00097984,             0.00097984,             0.00097984
                     12,                 2.9982,                 4.3948,                 3.4001,                0.00116,                0.04543,                0.00297,                0.00053,                 3.8741,                 5.5214,                   4.13,              0.0010582,              0.0010582,              0.0010582
                     13,                  3.053,                   4.44,                 3.2481,                0.00093,                0.03502,                0.00165,                 0.0006,                  4.133,                 5.5366,                 4.1075,              0.0011015,              0.0011015,              0.0011015
                     14,                 2.8679,                 4.0092,                 3.0533,                0.00177,                 0.0984,                0.00111,                0.00031,                 4.1735,                 5.8988,                 3.1789,              0.0011015,              0.0011015,              0.0011015
                     15,                 2.8913,                 3.8119,                 2.9035,                0.00308,                0.21144,                0.00431,                0.00121,                 3.5251,                 5.4501,                 2.6912,              0.0010891,              0.0010891,              0.0010891
                     16,                 2.8144,                 3.8043,                 2.8599,                0.07115,                0.11133,                0.06079,                0.02755,                 2.8975,                  4.117,                 2.3514,              0.0010768,              0.0010768,              0.0010768
                     17,                  2.725,                 3.6001,                 2.6107,                 0.1876,                0.15603,                0.15852,                0.08358,                  2.531,                  3.423,                 2.0699,              0.0010644,              0.0010644,              0.0010644
                     18,                 2.7111,                 3.6472,                 2.5593,                0.18041,                0.15603,                0.17289,                0.08656,                 2.4835,                 3.3622,                 2.0915,               0.001052,               0.001052,               0.001052
                     19,                  2.558,                 3.2593,                  2.479,                0.26168,                0.29854,                0.20986,                  0.109,                 2.2541,                 2.9949,                 1.8888,              0.0010396,              0.0010396,              0.0010396
                     20,                 2.5379,                 3.2965,                 2.3862,                0.63276,                0.31228,                0.28016,                0.15011,                 2.1101,                 2.6968,                 1.7474,              0.0010273,              0.0010273,              0.0010273
                     21,                 2.5168,                 3.2423,                 2.3885,                0.70356,                0.33311,                0.33444,                0.16542,                 2.1977,                 2.6402,                 1.7636,              0.0010149,              0.0010149,              0.0010149
                     22,                 2.5057,                 3.1125,                 2.3696,                0.71443,                0.34641,                0.36151,                0.18614,                 1.9613,                  2.501,                 1.6409,              0.0010025,              0.0010025,              0.0010025
                     23,                 2.3598,                 2.9082,                 2.1317,                0.75061,                0.33537,                0.34755,                0.16774,                 1.9147,                 2.5175,                  1.593,             0.00099013,             0.00099013,             0.00099013
                     24,                 2.3342,                 2.8916,                 2.1129,                0.69467,                0.44509,                0.35114,                0.17413,                 1.8643,                 2.5706,                 1.5494,             0.00097775,             0.00097775,             0.00097775
                     25,                 2.2909,                  2.715,                 2.0425,                0.70373,                0.37101,                0.36207,                0.19418,                 1.8149,                  2.487,                 1.5679,             0.00096537,             0.00096537,             0.00096537
                     26,                  2.296,                 2.8897,                 2.2247,                0.35882,                0.34973,                0.38201,                0.20604,                 1.9138,                 2.7035,                 1.5922,               0.000953,               0.000953,               0.000953
                     27,                 2.3123,                 2.8261,                 2.0903,                 0.4255,                0.44193,                0.43224,                0.25178,                 1.7771,                 2.3847,                 1.4774,             0.00094062,             0.00094062,             0.00094062
                     28,                 2.1216,                 2.5414,                 1.8533,                0.82802,                0.47191,                0.43131,                0.23539,                 1.8791,                 2.4996,                 1.4926,             0.00092825,             0.00092825,             0.00092825
                     29,                 2.0782,                 2.5403,                 1.9275,                0.76754,                0.39372,                0.43423,                0.24423,                 1.8712,                 2.3443,                 1.4894,             0.00091588,             0.00091588,             0.00091588
                     30,                 2.0888,                 2.6328,                 2.0039,                0.75434,                0.40044,                0.42709,                0.21867,                 1.8991,                 2.3858,                 1.5634,              0.0009035,              0.0009035,              0.0009035
                     31,                  2.128,                 2.7166,                 2.0171,                0.76091,                0.42442,                0.43429,                0.21181,                 1.8653,                 2.0739,                 1.5083,             0.00089112,             0.00089112,             0.00089112
                     32,                 2.0758,                 2.4921,                 1.8672,                0.83129,                 0.4699,                0.47725,                0.25883,                 1.7683,                 1.9829,                 1.4815,             0.00087875,             0.00087875,             0.00087875
                     33,                 1.9865,                  2.279,                 1.7554,                0.82977,                  0.463,                0.50176,                0.26619,                 1.8502,                 2.0219,                 1.4712,             0.00086637,             0.00086637,             0.00086637
                     34,                 1.9274,                  2.183,                 1.6504,                0.84655,                0.46488,                0.47039,                0.27645,                 1.7604,                 1.9905,                 1.4419,               0.000854,               0.000854,               0.000854
