                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8197,                 5.4071,                 4.2519,                0.00096,                0.03502,                0.00108,                0.00033,                 3.9565,                 6.5304,                 4.1579,               8.75e-05,               8.75e-05,               8.75e-05
                      2,                 3.8216,                 5.5703,                  4.263,                0.00124,                0.04543,                0.00108,                0.00034,                 3.9512,                 6.5356,                 4.1554,             0.00018379,             0.00018379,             0.00018379
                      3,                  3.838,                 5.1068,                 4.1984,                0.00117,                0.04543,                0.00097,                0.00035,                 3.9439,                 6.5311,                 4.1518,             0.00027612,             0.00027612,             0.00027612
                      4,                 3.9895,                 5.6113,                 4.1612,                0.00103,                0.03502,                0.00099,                0.00032,                 3.9346,                    6.5,                 4.1462,             0.00036448,             0.00036448,             0.00036448
                      5,                 3.7484,                 5.0483,                  4.143,                0.00111,                0.04543,                0.00104,                0.00037,                 3.9324,                 6.4221,                 4.1278,             0.00044889,             0.00044889,             0.00044889
                      6,                 3.7114,                 5.0781,                   4.04,                0.00109,                0.04543,                0.00106,                0.00035,                 3.9212,                 6.2542,                  4.108,             0.00052934,             0.00052934,             0.00052934
                      7,                 3.5364,                 5.2273,                 3.9823,                0.00132,                0.05585,                0.00133,                0.00036,                 3.9045,                 6.1236,                 4.0892,             0.00060583,             0.00060583,             0.00060583
                      8,                 3.4078,                 4.8941,                 3.8415,                0.00117,                0.04543,                0.00174,                0.00049,                 3.9355,                 6.0984,                 4.1049,             0.00067835,             0.00067835,             0.00067835
                      9,                  3.264,                 4.7979,                 3.8182,                0.00139,                0.05585,                0.00236,                0.00065,                 3.9086,                 5.8688,                 4.1122,             0.00074692,             0.00074692,             0.00074692
                     10,                 3.5009,                 4.9737,                 3.7276,                0.00207,                0.08045,                0.00295,                0.00074,                 3.8537,                 5.6715,                 4.0989,             0.00081153,             0.00081153,             0.00081153
                     11,                 3.5135,                 5.1239,                 3.6294,                0.00181,                0.08045,                0.00266,                0.00077,                 3.8321,                 5.6138,                  4.117,             0.00087218,             0.00087218,             0.00087218
                     12,                 3.0712,                 4.5109,                 3.4728,                0.00184,                0.07004,                0.00361,                0.00124,                 3.9153,                 5.7349,                 4.1978,             0.00092886,             0.00092886,             0.00092886
                     13,                 3.1774,                 4.5571,                 3.4027,                0.00192,                0.07004,                0.00393,                0.00118,                  4.031,                 5.8514,                 4.2394,               0.000953,               0.000953,               0.000953
                     14,                 3.0152,                 4.1543,                 3.2232,                0.00193,                0.07004,                0.00568,                0.00139,                 4.2937,                 5.8465,                 4.1549,               0.000953,               0.000953,               0.000953
