                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.19315,                 100.81,                0.11324,                      0,                      0,                      0,                      0,                0.25394,                  37.92,                0.14623,              1.667e-05,              1.667e-05,              1.667e-05
                      2,                 1.3042,                 100.17,                0.76963,                      0,                      0,                      0,                      0,                0.25328,                 37.962,                0.14592,             4.9762e-05,             4.9762e-05,             4.9762e-05
                      3,                0.66268,                 98.324,                0.38222,                      0,                      0,                      0,                      0,                 0.2527,                 38.022,                0.14565,             8.2525e-05,             8.2525e-05,             8.2525e-05
                      4,                0.78589,                 97.119,                0.46543,                      0,                      0,                      0,                      0,                0.25217,                 38.085,                0.14539,             0.00011496,             0.00011496,             0.00011496
                      5,                0.41305,                 95.629,                 0.2412,                      0,                      0,                      0,                      0,                0.25174,                 38.131,                0.14519,             0.00014706,             0.00014706,             0.00014706
                      6,                0.44936,                 93.575,                0.26496,                      0,                      0,                      0,                      0,                0.25133,                 38.148,                  0.145,             0.00017883,             0.00017883,             0.00017883
                      7,                 1.1826,                 91.651,                 0.6949,                      0,                      0,                      0,                      0,                 0.2509,                 38.131,                 0.1448,             0.00021027,             0.00021027,             0.00021027
                      8,                0.60322,                   88.9,                 0.3493,                      0,                      0,                      0,                      0,                0.25061,                 38.074,                0.14467,             0.00024139,             0.00024139,             0.00024139
                      9,                0.96335,                 86.612,                0.52951,                      0,                      0,                      0,                      0,                0.25057,                 38.039,                0.14466,             0.00027217,             0.00027217,             0.00027217
                     10,                 1.0406,                 84.779,                0.54657,                      0,                      0,                      0,                      0,                0.24998,                 37.984,                0.14438,             0.00030262,             0.00030262,             0.00030262
                     11,                0.96499,                 83.137,                0.50522,                      0,                      0,                      0,                      0,                 0.2492,                 37.861,                0.14401,             0.00033274,             0.00033274,             0.00033274
                     12,                 2.3361,                 82.306,                 1.1999,                      0,                      0,                      0,                      0,                0.24864,                 37.649,                0.14374,             0.00036253,             0.00036253,             0.00036253
                     13,                 1.3832,                 80.798,                0.75991,                      0,                      0,                      0,                      0,                0.24818,                 37.276,                0.14351,               0.000392,               0.000392,               0.000392
                     14,                 2.9743,                 79.308,                 1.5627,                      0,                      0,                      0,                      0,                  0.247,                 36.664,                0.14286,             0.00042113,             0.00042113,             0.00042113
                     15,                 1.8738,                 77.272,                0.77374,                      0,                      0,                      0,                      0,                0.24432,                 35.845,                 0.1414,             0.00044993,             0.00044993,             0.00044993
                     16,                 5.6623,                 70.688,                 2.3788,                      0,                      0,                      0,                      0,                0.24086,                 34.896,                0.13947,              0.0004784,              0.0004784,              0.0004784
                     17,                 2.2475,                 75.387,                 1.1651,                      0,                      0,                      0,                      0,                0.23633,                 33.727,                 0.1369,             0.00050654,             0.00050654,             0.00050654
                     18,                 4.2618,                 74.938,                 2.3688,                      0,                      0,                      0,                      0,                0.23192,                  32.12,                0.13421,             0.00053435,             0.00053435,             0.00053435
                     19,                 5.7671,                 68.703,                 2.7449,                      0,                      0,                      0,                      0,                0.22911,                  30.45,                0.13219,             0.00056183,             0.00056183,             0.00056183
                     20,                 5.5622,                 46.692,                 2.4203,                      0,                      0,                      0,                      0,                0.22141,                 28.845,                0.12764,             0.00058899,             0.00058899,             0.00058899
                     21,                 3.4793,                 21.474,                 2.5621,                      0,                      0,                      0,                      0,                0.21468,                 27.367,                0.12359,             0.00061581,             0.00061581,             0.00061581
                     22,                  4.301,                 31.581,                 2.5449,                      0,                      0,                      0,                      0,                0.21058,                 26.429,                0.12112,              0.0006423,              0.0006423,              0.0006423
                     23,                 4.5005,                 18.665,                 2.4067,                      0,                      0,                      0,                      0,                0.20581,                 25.329,                0.11833,             0.00066846,             0.00066846,             0.00066846
                     24,                  3.997,                 15.418,                 2.2431,                      0,                      0,                      0,                      0,                0.19156,                 24.199,                0.11064,             0.00069429,             0.00069429,             0.00069429
