                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                  2.054,                 2.1404,                 1.1247,                0.50791,                0.68218,                0.62421,                0.20797,                 2.0763,                 2.4113,                 1.1704,              0.0013782,              0.0013782,              0.0013782
                     38,                 1.9775,                 2.2802,                 1.0942,                0.63243,                0.61169,                0.66036,                 0.2561,                 1.9502,                 2.3588,                 1.1597,              0.0013699,              0.0013699,              0.0013699
                     39,                 2.2234,                 2.1762,                 1.1894,                0.54644,                0.66013,                0.64642,                0.23678,                 1.9596,                 2.2576,                 1.1728,              0.0013617,              0.0013617,              0.0013617
                     40,                 1.8497,                 1.8901,                 1.0972,                0.53157,                0.60294,                0.65292,                0.23516,                 1.9961,                  2.133,                  1.191,              0.0013534,              0.0013534,              0.0013534
                     41,                 1.8245,                 1.8744,                 1.0963,                0.68846,                 0.6257,                0.74597,                0.29766,                 1.9257,                  2.075,                 1.2167,              0.0013452,              0.0013452,              0.0013452
                     42,                 2.0702,                 1.9069,                 1.1115,                0.61747,                0.57353,                0.51616,                0.16134,                 2.1138,                 2.3432,                 1.2635,              0.0013369,              0.0013369,              0.0013369
                     43,                 1.8148,                 1.8854,                 1.1972,                0.71675,                0.59537,                0.65368,                0.23552,                 2.0447,                 2.1369,                 1.2392,              0.0013287,              0.0013287,              0.0013287
                     44,                 1.8682,                 1.9236,                 1.0539,                0.76691,                0.73201,                0.81082,                0.35581,                 1.8424,                 1.8598,                 1.1864,              0.0013204,              0.0013204,              0.0013204
                     45,                 1.7763,                 1.9996,                 1.0676,                 0.7255,                0.77124,                0.81103,                0.31392,                 1.8793,                 1.8915,                  1.176,              0.0013122,              0.0013122,              0.0013122
                     46,                 1.8279,                 1.7404,                 1.0585,                0.61488,                0.71405,                0.69818,                 0.2577,                 1.9788,                 1.9156,                 1.1813,              0.0013039,              0.0013039,              0.0013039
                     47,                 1.9309,                 1.8956,                 1.0927,                0.77124,                0.74189,                0.79958,                0.32569,                 1.8669,                 1.7668,                 1.1604,              0.0012957,              0.0012957,              0.0012957
                     48,                 1.7122,                 1.8646,                 1.0357,                0.87387,                0.76274,                0.81647,                0.39457,                 1.6744,                 1.6591,                  1.123,              0.0012874,              0.0012874,              0.0012874
                     49,                 1.7283,                 1.7938,                 1.0471,                0.82604,                0.79008,                0.78082,                0.35884,                 1.7502,                 1.6966,                 1.1323,              0.0012792,              0.0012792,              0.0012792
                     50,                 1.8002,                 1.7032,                 1.0866,                0.77733,                0.74578,                 0.7667,                0.35597,                 1.7889,                 1.6399,                 1.1362,              0.0012709,              0.0012709,              0.0012709
                     51,                 1.9241,                 1.7965,                 1.0532,                0.82218,                 0.7458,                0.78415,                0.39306,                 1.7185,                 1.6467,                 1.0994,              0.0012627,              0.0012627,              0.0012627
                     52,                 1.8064,                 1.6512,                 1.0379,                0.92007,                0.76362,                0.81623,                0.39822,                 1.6064,                 1.6466,                 1.0789,              0.0012544,              0.0012544,              0.0012544
                     53,                 1.8419,                 1.7103,                  1.122,                0.90459,                0.77124,                0.82234,                 0.4354,                 1.4993,                 1.5134,                 1.0556,              0.0012462,              0.0012462,              0.0012462
                     54,                 1.7905,                 1.8497,                 1.1054,                0.88105,                0.78105,                0.84024,                0.42524,                 1.6758,                 1.5343,                 1.0708,              0.0012379,              0.0012379,              0.0012379
                     55,                 1.8055,                 1.6581,                 1.0551,                0.87327,                0.76676,                0.81231,                0.40278,                 1.7807,                 1.5585,                 1.0837,              0.0012297,              0.0012297,              0.0012297
                     56,                 1.8163,                 1.5931,                0.99906,                 0.8781,                0.76237,                0.78748,                0.38866,                 1.6009,                 1.5513,                 1.0466,              0.0012214,              0.0012214,              0.0012214
                     57,                 1.6648,                 1.6968,                 1.0479,                0.92091,                0.79573,                0.83951,                 0.4567,                 1.4556,                 1.5008,                 1.0219,              0.0012132,              0.0012132,              0.0012132
                     58,                 1.7883,                 1.7054,                 1.0166,                0.95171,                0.82843,                0.86964,                0.50726,                 1.4519,                 1.3819,                 1.0113,              0.0012049,              0.0012049,              0.0012049
                     59,                 1.7294,                 1.7594,                 1.0289,                0.91231,                0.82132,                0.84997,                0.45895,                 1.6276,                 1.3865,                 1.0296,              0.0011967,              0.0011967,              0.0011967
                     60,                 1.5662,                 1.6046,                 0.9913,                0.91041,                 0.8268,                0.85131,                0.47833,                 1.5917,                 1.3648,                  1.014,              0.0011884,              0.0011884,              0.0011884
